mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_max_depth,param_min_child_weight,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.9505245685577393,0.028680962246792393,0.015703360239664715,0.003132677875390909,0.6,0.5,5,1,9,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 9, 'subsample': 0.6}",0.9843354430379747,0.9457278481012658,0.9877777777777778,0.972598630961609,0.01906650144980706,1338,1.0,1.0,1.0,1.0,0.0
0.9616816838582357,0.07281955311556024,0.014197270075480143,0.0024548292607583424,0.6,0.5,5,1,9,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 9, 'subsample': 0.8}",0.9824367088607595,0.9446202531645569,0.9853968253968254,0.9708034515873315,0.018567456543805826,1828,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17
1.0392015775044758,0.06776852935231029,0.011967658996582031,0.00013901759174142503,0.6,0.5,5,1,9,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 9, 'subsample': 1.0}",0.9757911392405063,0.9390822784810127,0.9852380952380951,0.9666854322335573,0.01990983558969326,2470,1.0,1.0,0.9999999999999999,1.0,6.409875621278546e-17
0.989513635635376,0.04447937961678324,0.01326902707417806,0.0004488717309920934,0.6,0.5,5,1,11,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 11, 'subsample': 0.6}",0.9852848101265822,0.9473101265822785,0.9874603174603175,0.9733377408971038,0.018439402424217845,938,0.9999999999999999,1.0,1.0,1.0,6.409875621278546e-17
0.9650749365488688,0.07103732455248188,0.013797362645467123,0.0006489455425430576,0.6,0.5,5,1,11,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 11, 'subsample': 0.8}",0.982120253164557,0.9438291139240507,0.9858730158730159,0.9705923015483938,0.01900036504418309,1884,0.9999999999999999,0.9999999999999999,1.0,1.0,9.064933036736789e-17
1.021760622660319,0.0293448304089041,0.0112303098042806,0.001180383334728158,0.6,0.5,5,1,11,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 11, 'subsample': 1.0}",0.9764240506329114,0.9390822784810127,0.9838095238095237,0.9664213674860666,0.019579483598210094,2485,1.0,1.0,1.0,1.0,0.0
0.8929583231608073,0.01303907737280516,0.012385368347167969,0.0005497792165797049,0.6,0.5,5,1,13,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 13, 'subsample': 0.6}",0.9854430379746836,0.945886075949367,0.987936507936508,0.9730737958661482,0.019265839490919083,1135,1.0,0.9999999999999999,1.0,1.0,6.409875621278546e-17
0.9425267378489176,0.04684944755827265,0.015911579132080078,0.0015440090757151794,0.6,0.5,5,1,13,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 13, 'subsample': 0.8}",0.9824367088607595,0.9450949367088607,0.9865079365079364,0.9713314713421561,0.018640062022025543,1660,1.0,0.9999999999999999,1.0,1.0,6.409875621278546e-17
1.021579345067342,0.04959919002272011,0.011300961176554361,0.0012202569140636074,0.6,0.5,5,1,13,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 13, 'subsample': 1.0}",0.9768987341772152,0.9390822784810126,0.9842857142857142,0.9667381673673076,0.01980111284627367,2461,1.0,1.0,1.0,1.0,0.0
0.9237176577250162,0.040401485037955924,0.012977679570515951,0.0008990966055091594,0.6,0.5,5,1,15,0.6,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 15, 'subsample': 0.6}",0.9857594936708861,0.9477848101265822,0.9879365079365079,0.9738129257543986,0.018439786385112514,637,1.0,1.0,1.0,1.0,0.0
1.0046744346618652,0.052928254295449687,0.015359163284301758,0.0007759089344486355,0.6,0.5,5,1,15,0.8,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 15, 'subsample': 0.8}",0.9840189873417722,0.9436708860759493,0.9865079365079364,0.971384266334174,0.01963720930602151,1648,1.0,0.9999999999999999,1.0,1.0,6.409875621278546e-17
1.1150726477305095,0.03589043984405624,0.011732260386149088,0.001181141944938365,0.6,0.5,5,1,15,1.0,"{'colsample_bytree': 0.6, 'gamma': 0.5, 'max_depth': 5, 'min_child_weight': 1, 'scale_pos_weight': 15, 'subsample': 1.0}",0.9770569620253164,0.9390822784810127,0.9844444444444445,0.9668437673277214,0.019875001971984076,2448,1.0,1.0,1.0,1.0,0.0
