playerID,Seasons,Wins,Loses,Games,Games_Started,Complete_Games,Shut_Outs,Earned_Runs,Strike_Outs,Walks,Games_Finished,Runs_Allowed,Batters_Faced
shaffjo01,2,7,14,21,21,21,1,92,58,82,0,148,816
shallgu01,2,17,14,36,35,30,0,115,93,86,1,172,1251
shanagr01,2,0,0,11,0,0,0,9,13,9,6,9,100
shankha01,1,0,0,1,0,0,0,0,1,2,0,0,13
shannbi01,1,0,0,1,0,0,0,3,1,1,1,4,18
shantbo01,19,119,99,537,171,78,15,726,1072,643,192,817,8045
sharpjo01,2,0,1,20,0,0,0,8,8,12,5,8,74
sharrge01,2,4,7,16,13,12,0,80,31,68,3,101,550
sharrja01,4,20,17,48,32,26,0,108,137,157,15,183,1363
shautjo01,13,99,109,360,208,103,5,838,512,534,102,1043,7928
shaveje01,1,0,0,1,0,0,0,0,0,0,1,0,4
shawbo01,15,108,98,430,223,55,14,696,880,511,101,791,7587
shawbr01,8,27,34,536,0,0,0,191,452,179,112,224,2112
shawdo01,6,13,14,138,1,0,0,84,123,101,55,95,816
shawdu01,7,83,121,211,207,196,13,607,950,396,4,1050,7555
shawje01,14,34,54,633,19,0,0,334,545,234,384,368,3549
shawji01,9,84,98,287,193,96,17,546,767,688,68,674,6584
shawkbo01,16,196,150,488,334,197,33,1008,1360,1018,113,1200,12074
shawsa01,2,3,4,8,8,7,0,30,23,28,0,49,323
sheajo01,1,0,0,1,0,0,0,2,0,1,1,2,5
shealal01,2,8,6,47,12,3,0,78,53,56,24,88,581
sheami01,1,1,1,2,2,2,0,13,0,10,0,25,88
sheare01,3,5,5,23,4,1,0,27,17,15,12,35,265
shearge01,1,0,0,4,0,0,0,9,9,11,4,18,77
shearjo01,1,1,3,6,5,4,0,18,19,24,1,39,220
shearto01,1,3,0,7,6,0,0,18,16,13,0,18,137
sheasp01,8,56,46,195,118,48,12,398,361,497,50,453,4076
sheast01,2,4,4,40,0,0,0,18,26,19,24,22,210
sheehto02,7,17,39,146,54,26,3,270,169,242,64,359,2589
sheetbe01,10,94,96,250,250,18,4,670,1325,369,0,736,6640
sheffju01,1,0,0,3,0,0,0,3,0,3,2,3,14
sheldro01,7,38,36,160,101,17,4,329,371,207,19,358,3062
sheldsc01,1,0,0,1,0,0,0,0,1,0,0,0,1
shellfr01,2,10,15,36,25,12,2,74,57,90,9,101,927
shellji01,10,16,30,165,48,8,2,192,222,200,36,228,1960
shellst01,2,2,2,43,0,0,0,15,46,22,7,17,221
shepabe01,1,0,0,1,0,0,0,1,2,1,1,1,20
shephke01,4,2,5,41,1,0,0,47,34,30,15,57,296
sherdbi01,17,165,146,514,272,159,11,1120,839,661,163,1326,11604
sherfji01,2,2,0,26,0,0,0,3,26,12,5,3,106
sheriro01,3,23,24,87,44,20,0,216,149,166,29,254,1851
shermda01,1,0,1,1,1,0,0,0,0,2,0,2,0
shermjo01,1,1,0,2,1,1,0,4,5,1,1,4,61
sherrfr01,1,0,4,10,3,2,0,25,20,19,6,40,222
sherrge01,10,19,17,442,0,0,0,136,320,154,138,140,1397
sherrla01,12,53,44,416,16,2,1,326,606,374,245,377,3480
sherrry01,2,2,1,18,0,0,0,9,18,6,2,9,87
sherrti01,2,0,0,18,0,0,0,16,7,6,5,18,92
shielbe01,4,4,0,13,2,2,0,38,9,27,7,39,198
shielch01,3,7,13,30,21,13,1,85,35,46,9,129,803
shielja01,3,2,2,24,3,0,0,31,38,29,6,32,203
shielja02,14,145,139,407,405,23,9,1167,2234,746,1,1267,10993
shielsc01,10,46,44,491,15,0,0,246,631,278,114,285,2916
shielst01,6,8,8,102,6,0,0,128,126,91,32,146,991
shielvi01,1,1,1,2,1,0,0,4,4,3,1,5,51
shiffga01,2,0,2,16,1,0,0,18,10,17,6,18,123
shiffst01,1,1,4,34,0,0,0,15,25,17,15,15,221
shinaza01,1,0,0,1,0,0,0,1,0,2,0,1,14
shinera01,1,0,0,1,0,0,0,0,0,0,1,0,4
shipada01,1,1,2,26,0,0,0,13,26,16,12,15,162
shiplbr01,3,4,6,26,14,0,0,61,64,45,4,65,449
