playerID,nameLast,nameFirst,yearid,inducted,category
kinerra01,Kiner,Ralph,1975,Y,Player
kleinch01,Klein,Chuck,1980,Y,Player
koufasa01,Koufax,Sandy,1972,Y,Player
lajoina01,Lajoie,Nap,1937,Y,Player
larkiba01,Larkin,Barry,2012,Y,Player
lazzeto01,Lazzeri,Tony,1991,Y,Player
lemonbo01,Lemon,Bob,1976,Y,Player
leonabu99,Leonard,Buck,1972,Y,Player
lindsfr01,Lindstrom,Freddie,1976,Y,Player
lloydpo99,Lloyd,Pop,1977,Y,Player
lombaer01,Lombardi,Ernie,1986,Y,Player
lyonste01,Lyons,Ted,1955,Y,Player
mackebi99,Mackey,Biz,2006,Y,Player
maddugr01,Maddux,Greg,2014,Y,Player
mantlmi01,Mantle,Mickey,1974,Y,Player
manushe01,Manush,Heinie,1964,Y,Player
maranra01,Maranville,Rabbit,1954,Y,Player
maricju01,Marichal,Juan,1983,Y,Player
marquru01,Marquard,Rube,1971,Y,Player
martipe02,Martinez,Pedro,2015,Y,Player
mathech01,Mathewson,Christy,1936,Y,Player
matheed01,Mathews,Eddie,1978,Y,Player
mayswi01,Mays,Willie,1979,Y,Player
mazerbi01,Mazeroski,Bill,2001,Y,Player
mccarto01,McCarthy,Tommy,1946,Y,Player
mccovwi01,McCovey,Willie,1986,Y,Player
mcginjo01,McGinnity,Joe,1946,Y,Player
mcphebi01,McPhee,Bid,2000,Y,Player
medwijo01,Medwick,Joe,1968,Y,Player
mendejo99,Mendez,Jose,2006,Y,Player
mizejo01,Mize,Johnny,1981,Y,Player
molitpa01,Molitor,Paul,2004,Y,Player
morgajo02,Morgan,Joe,1990,Y,Player
morrija02,Morris,Jack,2018,Y,Player
murraed02,Murray,Eddie,2003,Y,Player
musiast01,Musial,Stan,1969,Y,Player
newhoha01,Newhouser,Hal,1992,Y,Player
nichoki01,Nichols,Kid,1949,Y,Player
niekrph01,Niekro,Phil,1997,Y,Player
orourji01,O'Rourke,Jim,1945,Y,Player
ottme01,Ott,Mel,1951,Y,Player
paigesa01,Paige,Satchel,1971,Y,Player
palmeji01,Palmer,Jim,1990,Y,Player
pennohe01,Pennock,Herb,1948,Y,Player
perezto01,Perez,Tony,2000,Y,Player
perryga01,Perry,Gaylord,1991,Y,Player
piazzmi01,Piazza,Mike,2016,Y,Player
planked01,Plank,Eddie,1946,Y,Player
puckeki01,Puckett,Kirby,2001,Y,Player
radboch01,Radbourn,Old Hoss,1939,Y,Player
raineti01,Raines,Tim,2017,Y,Player
reesepe01,Reese,Pee Wee,1984,Y,Player
riceji01,Rice,Jim,2009,Y,Player
ricesa01,Rice,Sam,1963,Y,Player
ripkeca01,Ripken,Cal,2007,Y,Player
rixeyep01,Rixey,Eppa,1963,Y,Player
rizzuph01,Rizzuto,Phil,1994,Y,Player
roberro01,Roberts,Robin,1976,Y,Player
robinbr01,Robinson,Brooks,1983,Y,Player
robinfr02,Robinson,Frank,1982,Y,Player
robinja02,Robinson,Jackie,1962,Y,Player
rodriiv01,Rodriguez,Ivan,2017,Y,Player
roganbu99,Rogan,Bullet,1998,Y,Player
roushed01,Roush,Edd,1962,Y,Player
ruffire01,Ruffing,Red,1967,Y,Player
rusieam01,Rusie,Amos,1977,Y,Player
ruthba01,Ruth,Babe,1936,Y,Player
ryanno01,Ryan,Nolan,1999,Y,Player
sandbry01,Sandberg,Ryne,2005,Y,Player
santolo99,Santop,Louis,2006,Y,Player
santoro01,Santo,Ron,2012,Y,Player
schalra01,Schalk,Ray,1955,Y,Player
schmimi01,Schmidt,Mike,1995,Y,Player
schoere01,Schoendienst,Red,1989,Y,Player
seaveto01,Seaver,Tom,1992,Y,Player
seweljo01,Sewell,Joe,1977,Y,Player
simmoal01,Simmons,Al,1953,Y,Player
sislege01,Sisler,George,1939,Y,Player
slaugen01,Slaughter,Enos,1985,Y,Player
smithhi99,Smith,Hilton,2001,Y,Player
smithoz01,Smith,Ozzie,2002,Y,Player
smoltjo01,Smoltz,John,2015,Y,Player
snidedu01,Snider,Duke,1980,Y,Player
spahnwa01,Spahn,Warren,1973,Y,Player
speaktr01,Speaker,Tris,1937,Y,Player
stargwi01,Stargell,Willie,1988,Y,Player
steartu99,Stearnes,Turkey,2000,Y,Player
suttebr01,Sutter,Bruce,2006,Y,Player
suttlmu99,Suttles,Mule,2006,Y,Player
