playerID,Seasons,Hits,RBIs,Runs,Stolen_Bases,Strike_Outs,Home_Runs,Walks,Games,Triples,Doubles,Caught_Stealing,At_Bats,Intentional_Walks,Hit_By_Pitch,Sacrifice_Hits,Sacrifice_Flies,Ground_Into_Double_Plays
levyed01,3,42,32,17,2,24,4,10,54,2,11,1,195,NULL,0,4,NULL,4
lewalde01,8,1,1,1,0,10,0,0,34,0,0,0,13,0,0,1,0,0
lewanda01,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
lewicar01,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
lewis01,1,1,0,1,0,0,0,0,1,0,0,NULL,5,NULL,0,NULL,NULL,NULL
lewisal01,6,6,3,47,44,4,1,1,156,0,1,17,29,0,0,1,0,0
lewisbe01,1,0,0,0,0,4,0,0,12,0,0,0,5,NULL,0,0,NULL,NULL
lewisbi01,3,33,11,20,0,11,1,15,50,0,3,NULL,101,NULL,0,1,NULL,0
lewisbu01,11,1563,607,830,83,303,71,573,1349,93,249,59,5261,NULL,20,83,NULL,69
lewisco01,11,7,5,1,0,11,0,0,233,0,1,0,27,0,0,1,0,0
lewisda01,15,1021,342,607,247,514,27,403,1354,37,137,107,4081,1,48,101,19,58
lewisdu01,11,1518,793,612,113,424,38,352,1459,68,289,47,5351,NULL,40,264,NULL,NULL
lewisfr01,7,390,119,224,8,28,4,60,317,13,70,NULL,1318,NULL,8,NULL,NULL,NULL
lewisfr02,7,415,136,261,53,390,27,170,535,21,91,23,1562,10,21,3,7,23
lewisja01,3,169,80,63,18,77,1,32,217,10,20,NULL,684,NULL,9,36,NULL,NULL
lewisje01,4,0,0,0,0,1,0,0,161,0,0,0,1,0,0,0,0,0
lewisji01,4,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
lewisji02,1,0,0,0,0,1,0,0,12,0,0,0,2,0,0,0,0,0
lewisjo01,4,175,74,97,8,194,22,95,266,6,24,9,771,5,3,4,3,10
lewisma01,12,736,306,320,29,511,48,196,902,13,155,18,2795,8,16,16,28,79
lewisph01,4,429,130,146,55,107,4,95,508,13,33,NULL,1775,NULL,3,67,NULL,NULL
lewisri01,8,2,1,1,0,3,0,2,217,0,0,0,10,0,0,1,0,0
lewisro01,2,0,0,0,0,1,0,0,20,0,0,0,1,0,0,0,0,0
lewissc01,5,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
lewissc02,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
lewiste01,6,123,52,66,4,66,0,38,184,3,10,NULL,552,NULL,0,17,NULL,NULL
leyriji01,15,667,387,325,7,581,90,337,903,2,107,7,2527,16,65,8,24,79
leyte01,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
lezcaca01,2,19,14,16,1,33,3,11,49,1,4,2,102,0,1,2,2,3
lezcasi01,13,1122,591,560,37,768,148,576,1291,34,184,31,4134,37,19,39,46,96
libbyst01,1,0,0,0,NULL,1,0,0,1,0,0,NULL,2,NULL,NULL,NULL,NULL,NULL
liberad01,4,0,0,1,0,2,0,0,118,0,0,0,3,0,0,0,0,0
libkeal01,2,236,95,73,6,112,9,77,254,6,45,NULL,880,NULL,3,8,NULL,23
librafr01,1,1,1,1,0,2,0,1,10,0,1,0,10,0,0,0,0,0
lickejo01,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
liddeda01,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
liddial01,3,36,16,15,3,73,6,13,61,1,8,1,173,0,1,0,1,1
liddldo01,5,17,5,9,0,29,0,18,119,0,0,0,112,0,1,11,1,2
lidgebr01,11,2,2,0,0,4,0,0,603,0,1,0,7,0,0,0,0,0
lidleco01,11,22,8,10,0,87,1,9,277,1,4,0,170,0,0,21,0,1
liebedu01,2,2,0,1,0,7,0,0,22,0,0,0,17,NULL,0,0,NULL,NULL
liebejo01,14,85,25,36,0,234,0,30,405,0,17,0,612,0,0,55,2,20
liebemi01,14,1155,610,534,8,571,150,335,1212,10,257,7,4218,34,89,10,43,114
liebhgl01,4,28,11,13,0,53,0,8,90,2,6,NULL,190,NULL,0,13,NULL,NULL
liebhgl02,3,0,0,0,0,5,0,0,31,0,0,0,13,0,0,0,0,0
liefeje01,8,179,113,89,2,223,31,56,288,1,36,2,779,4,2,1,6,17
liesefr01,1,0,0,0,0,2,0,1,5,0,0,NULL,4,NULL,0,0,NULL,NULL
lightpa01,2,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
ligteke01,8,0,0,0,0,1,0,0,386,0,0,0,1,0,0,0,0,0
lillabi01,2,55,22,30,0,29,1,31,80,2,9,1,225,NULL,1,7,NULL,3
lillage01,3,8,2,9,0,11,0,9,44,0,1,0,44,0,0,0,0,3
lillibo01,11,549,137,198,23,116,3,99,817,9,68,25,2328,13,13,40,11,61
lillibr01,9,145,71,102,37,235,19,49,358,4,25,14,708,1,13,9,5,9
lillide01,9,23,8,11,0,20,2,1,267,0,1,0,108,0,0,5,0,3
lilliji01,4,332,134,179,13,221,6,23,390,11,41,NULL,1518,NULL,NULL,NULL,NULL,NULL
lillyte01,17,35,17,10,3,149,0,8,357,1,6,2,347,0,1,37,0,2
limajo01,14,38,10,18,0,101,0,7,351,0,4,0,292,0,0,44,1,6
limch01,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
limmelo01,2,107,62,66,3,77,19,63,209,4,19,3,530,NULL,0,7,3,10
linarru01,4,147,63,66,15,74,11,24,207,3,21,6,545,2,1,2,5,24
linceti01,10,53,19,26,0,244,0,34,281,2,4,0,474,0,0,70,1,6
linch01,1,3,0,1,0,5,0,0,9,0,0,0,12,0,0,0,0,0
lincobr01,6,9,4,3,0,14,0,1,101,0,1,0,38,0,0,4,0,0
lincoez01,2,8,0,4,0,15,0,2,18,0,1,NULL,59,NULL,0,NULL,NULL,NULL
lincomi01,9,1,0,0,0,7,0,0,263,0,0,0,15,0,0,1,0,0
lindad01,12,1247,723,588,7,945,200,393,1344,12,259,5,4577,45,17,3,39,117
lindavi01,4,46,11,27,1,75,0,22,131,1,4,NULL,303,NULL,0,9,NULL,NULL
lindbem01,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
lindbjo01,6,0,0,0,0,2,0,0,114,0,0,0,3,0,0,0,0,0
lindbpa01,16,26,6,6,0,35,1,2,657,0,6,0,133,0,0,5,1,0
lindca01,4,267,74,131,9,79,1,57,256,5,53,8,981,NULL,1,42,NULL,NULL
lindebo01,1,1,0,0,0,1,0,0,3,0,0,NULL,9,NULL,0,1,NULL,NULL
lindeer01,1,1,0,0,0,0,0,0,1,0,0,NULL,2,NULL,0,1,NULL,NULL
lindeji01,9,165,89,82,4,173,21,42,351,1,34,3,676,3,4,6,8,11
lindejo01,14,762,404,401,17,366,72,289,854,48,124,13,2795,NULL,16,22,0,91
lindely01,2,0,0,0,0,1,0,0,4,0,0,0,2,0,0,0,0,0
lindeto01,6,116,36,64,8,148,8,44,270,3,22,0,502,1,8,5,0,13
lindewa01,1,2,0,0,0,0,0,1,3,0,1,NULL,5,NULL,0,0,NULL,0
lindgja01,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
lindja01,2,5,1,5,1,14,0,5,26,0,2,0,37,0,0,0,0,1
lindjo01,10,935,324,368,62,370,9,215,1044,27,145,19,3677,50,8,69,31,102
lindofr01,4,665,310,377,71,357,98,214,574,13,138,20,2306,16,18,24,28,46
lindqca01,2,0,0,0,0,4,0,0,7,0,0,NULL,5,NULL,0,0,NULL,0
